hospital_id,hospital_name,ownership,division,district,upazila,latitude,longitude,facility_type,facility_level,total_beds,vacant_beds,icu_beds,available_icu_beds,accepting_referrals,last_reported_date,last_reported_time,has_emergency,emergency_level,dept_medicine,dept_cardiology,dept_neurology,dept_gastroenterology,dept_pulmonology,dept_nephrology,dept_orthopedics,dept_surgery,dept_ent,dept_obgyn,dept_pediatrics,dept_dermatology,dept_ophthalmology,dept_psychiatry
FR00106,Jamalpur Sadar 50-bed Hospital,Fully Government-owned,Mymensingh,Jamalpur,Jamalpur Sadar,25.1531,90.14801,50-bed Hospital,Secondary,50,9,0,0,1,2026-01-12,22:55,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00107,Islampur Upazila Health Complex,Fully Government-owned,Mymensingh,Jamalpur,Islampur,24.43887,91.16189,Upazila Health Complex,Primary,50,18,0,0,1,2026-01-12,23:00,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
FR00108,Mymensingh Specialized Hospital,Fully Government-owned,Mymensingh,Mymensingh,Phulpur,24.75098,90.82026,Specialized Hospital,Tertiary,107,55,11,0,1,2026-01-12,23:05,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00109,Paba 30-bed Hospital,Fully Government-owned,Rajshahi,Rajshahi,Paba,24.09623,88.41244,30-bed Hospital,Secondary,31,3,1,0,1,2026-01-12,23:10,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00110,Moulvibazar Specialized Hospital,Fully Government-owned,Sylhet,Moulvibazar,Sreemangal,24.55474,92.04181,Specialized Hospital,Tertiary,377,102,20,0,1,2026-01-12,23:15,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00111,Barishal District Hospital,Fully Government-owned,Barishal,Barishal,Bakerganj,22.78848,90.49272,District/General Hospital,Secondary,300,131,9,0,1,2026-01-12,23:20,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00112,Cox's Bazar Sadar 30-bed Hospital,Fully Government-owned,Chattogram,Cox's Bazar,Cox's Bazar Sadar,22.89229,91.69337,30-bed Hospital,Secondary,30,5,0,0,1,2026-01-12,23:25,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00113,Moulvibazar Sadar 50-bed Hospital,Fully Government-owned,Sylhet,Moulvibazar,Moulvibazar Sadar,25.13402,91.71899,50-bed Hospital,Secondary,50,6,1,0,1,2026-01-12,23:30,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00114,Cumilla Trauma Center,Fully Government-owned,Chattogram,Cumilla,Daudkandi,22.46631,91.63219,Trauma Center,Tertiary,111,12,9,0,1,2026-01-12,23:35,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00115,Patuakhali Medical College Hospital,Fully Government-owned,Barishal,Patuakhali,Kalapara,22.68089,90.11058,Medical College Hospital,Tertiary,1200,80,136,55,1,2026-01-12,23:40,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00116,Sarishabari 30-bed Hospital,Fully Government-owned,Mymensingh,Jamalpur,Sarishabari,24.80252,90.43233,30-bed Hospital,Secondary,31,6,1,0,1,2026-01-12,23:45,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00117,Dinajpur Sadar 50-bed Hospital,Fully Government-owned,Rangpur,Dinajpur,Dinajpur Sadar,26.1197,89.79269,50-bed Hospital,Secondary,50,4,1,0,1,2026-01-08,23:50,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00118,Bakerganj 10-bed Hospital,Fully Government-owned,Barishal,Barishal,Bakerganj,22.92459,90.54482,10-bed Hospital,Primary,10,2,0,0,0,2026-01-12,23:55,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00119,Jamalpur Trauma Center,Fully Government-owned,Mymensingh,Jamalpur,Jamalpur Sadar,24.50915,90.37569,Trauma Center,Tertiary,140,23,9,0,1,2026-01-13,0:00,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00120,Pabna Medical College Hospital,Fully Government-owned,Rajshahi,Pabna,Pabna Sadar,23.55005,88.81081,Medical College Hospital,Tertiary,1000,602,105,14,1,2026-01-13,0:05,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00121,Paba 20-bed Hospital,Fully Government-owned,Rajshahi,Rajshahi,Paba,23.69824,89.05517,20-bed Hospital,Primary,20,4,0,0,0,2026-01-13,0:10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00122,Barishal Specialized Hospital,Fully Government-owned,Barishal,Barishal,Babuganj,22.24033,90.08062,Specialized Hospital,Tertiary,251,100,26,9,1,2026-01-13,0:15,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00123,Kotwali 10-bed Hospital,Fully Government-owned,Chattogram,Chattogram,Kotwali,22.08915,91.66446,10-bed Hospital,Primary,10,1,0,0,0,2026-01-13,0:20,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
FR00124,Galachipa 20-bed Hospital,Fully Government-owned,Barishal,Patuakhali,Galachipa,22.41292,90.43368,20-bed Hospital,Primary,20,6,0,0,0,2026-01-13,0:25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00125,Khulna Specialized Hospital,Fully Government-owned,Khulna,Khulna,Batiaghata,22.6083,89.1258,Specialized Hospital,Tertiary,458,45,33,16,1,2026-01-13,0:30,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00126,Narayanganj District Hospital,Fully Government-owned,Dhaka,Narayanganj,Sonargaon,23.86877,90.27205,District/General Hospital,Secondary,100,5,1,0,1,2026-01-13,0:35,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00127,Kamalganj Upazila Health Complex,Fully Government-owned,Sylhet,Moulvibazar,Kamalganj,25.16695,92.03096,Upazila Health Complex,Primary,50,6,0,0,0,2026-01-13,0:40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00128,Sylhet Specialized Hospital,Fully Government-owned,Sylhet,Sylhet,Beanibazar,24.57948,92.07998,Specialized Hospital,Tertiary,220,20,24,5,1,2026-01-13,0:45,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00129,Beanibazar 30-bed Hospital,Fully Government-owned,Sylhet,Sylhet,Beanibazar,25.25921,92.17693,30-bed Hospital,Secondary,30,6,1,0,1,2026-01-13,0:50,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00130,Cumilla Trauma Center,Fully Government-owned,Chattogram,Cumilla,Cumilla Sadar,21.96702,92.38882,Trauma Center,Tertiary,55,8,6,0,1,2026-01-06,0:55,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00131,Batiaghata 50-bed Hospital,Fully Government-owned,Khulna,Khulna,Batiaghata,22.433,89.69693,50-bed Hospital,Secondary,50,2,1,0,1,2026-01-13,1:00,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00132,Narayanganj Sadar Upazila Health Complex,Fully Government-owned,Dhaka,Narayanganj,Narayanganj Sadar,23.68725,90.46274,Upazila Health Complex,Primary,100,20,0,0,1,2026-01-13,1:05,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
FR00133,Jashore Sadar Upazila Health Complex,Fully Government-owned,Khulna,Jashore,Jashore Sadar,22.94172,89.47348,Upazila Health Complex,Primary,50,9,0,0,0,2026-01-13,1:10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00134,Sylhet Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Sylhet,Sylhet,Beanibazar,24.53469,92.14826,Maternal & Child Welfare Centre (MCWC),Secondary,24,6,1,0,1,2026-01-13,1:15,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00135,Patuakhali Medical College Hospital,Fully Government-owned,Barishal,Patuakhali,Galachipa,22.90149,90.29839,Medical College Hospital,Tertiary,500,205,60,12,1,2026-01-13,1:20,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00136,Cox's Bazar Specialized Hospital,Fully Government-owned,Chattogram,Cox's Bazar,Ukhia,21.94422,91.54833,Specialized Hospital,Tertiary,137,80,15,0,1,2026-01-13,1:25,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00137,Bogura Trauma Center,Fully Government-owned,Rajshahi,Bogura,Sherpur,24.07136,89.13635,Trauma Center,Tertiary,190,140,19,5,1,2026-01-13,1:30,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00138,Patuakhali Trauma Center,Fully Government-owned,Barishal,Patuakhali,Galachipa,22.71231,90.59696,Trauma Center,Tertiary,160,60,9,3,1,2026-01-13,1:35,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00139,Jhikargacha 50-bed Hospital,Fully Government-owned,Khulna,Jashore,Jhikargacha,22.6535,89.37439,50-bed Hospital,Secondary,50,9,1,0,1,2026-01-13,1:40,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00140,Teknaf 20-bed Hospital,Fully Government-owned,Chattogram,Cox's Bazar,Teknaf,21.60528,92.32299,20-bed Hospital,Primary,20,0,0,0,0,2026-01-13,1:45,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
FR00141,Cox's Bazar Sadar 20-bed Hospital,Fully Government-owned,Chattogram,Cox's Bazar,Cox's Bazar Sadar,22.47293,91.96159,20-bed Hospital,Primary,20,3,0,0,1,2026-01-13,1:50,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
FR00142,Moulvibazar Medical College Hospital,Fully Government-owned,Sylhet,Moulvibazar,Kamalganj,24.78132,92.00454,Medical College Hospital,Tertiary,1000,406,92,22,1,2026-01-13,1:55,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00143,Khulna Specialized Hospital,Fully Government-owned,Khulna,Khulna,Batiaghata,22.55011,89.50064,Specialized Hospital,Tertiary,214,12,23,5,1,2026-01-13,2:00,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00144,Ukhia 50-bed Hospital,Fully Government-owned,Chattogram,Cox's Bazar,Ukhia,23.24909,92.21843,50-bed Hospital,Secondary,50,0,1,0,1,2026-01-13,2:05,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00145,Narayanganj Sadar Upazila Health Complex,Fully Government-owned,Dhaka,Narayanganj,Narayanganj Sadar,23.75449,90.23788,Upazila Health Complex,Primary,50,9,0,0,0,2026-01-12,9:30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
FR00146,Rangpur Medical College Hospital,Fully Government-owned,Rangpur,Rangpur,Rangpur Sadar,25.54421,89.21983,Medical College Hospital,Tertiary,500,103,51,23,1,2026-01-12,9:45,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00147,Beanibazar 30-bed Hospital,Fully Government-owned,Sylhet,Sylhet,Beanibazar,24.95408,91.65947,30-bed Hospital,Secondary,31,0,1,0,1,2026-01-12,10:00,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00148,Gazipur Trauma Center,Fully Government-owned,Dhaka,Gazipur,Tongi,23.73605,90.46336,Trauma Center,Tertiary,62,1,6,0,1,2026-01-12,10:05,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00149,Islampur 30-bed Hospital,Fully Government-owned,Mymensingh,Jamalpur,Islampur,24.4252,90.57291,30-bed Hospital,Secondary,30,5,1,0,1,2026-01-12,10:15,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00150,Galachipa 30-bed Hospital,Fully Government-owned,Barishal,Patuakhali,Galachipa,23.07978,90.03835,30-bed Hospital,Secondary,30,3,0,0,1,2026-01-12,10:20,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00151,Jashore Sadar Upazila Health Complex,Fully Government-owned,Khulna,Jashore,Jashore Sadar,22.31998,89.44765,Upazila Health Complex,Primary,50,9,0,0,1,2026-01-12,10:25,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
FR00152,Jashore Sadar 10-bed Hospital,Fully Government-owned,Khulna,Jashore,Jashore Sadar,22.65975,89.07008,10-bed Hospital,Primary,10,0,0,0,0,2026-01-12,10:30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00153,Dinajpur District Hospital,Fully Government-owned,Rangpur,Dinajpur,Birganj,25.71963,89.60132,District/General Hospital,Secondary,300,12,0,0,1,2026-01-12,10:35,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00154,Jamalpur Sadar 10-bed Hospital,Fully Government-owned,Mymensingh,Jamalpur,Jamalpur Sadar,24.94776,90.67636,10-bed Hospital,Primary,10,0,0,0,0,2026-01-12,10:40,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00155,Beanibazar Upazila Health Complex,Fully Government-owned,Sylhet,Sylhet,Beanibazar,24.59122,91.95697,Upazila Health Complex,Primary,31,6,0,0,0,2026-01-12,10:45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00156,Rajshahi Sadar Upazila Health Complex,Fully Government-owned,Rajshahi,Rajshahi,Rajshahi Sadar,24.4036,89.3643,Upazila Health Complex,Primary,50,41,0,0,0,2026-01-12,10:50,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00157,Jamalpur Trauma Center,Fully Government-owned,Mymensingh,Jamalpur,Sarishabari,25.27025,90.80729,Trauma Center,Tertiary,164,120,16,0,1,2026-01-12,10:55,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00158,Moulvibazar Specialized Hospital,Fully Government-owned,Sylhet,Moulvibazar,Moulvibazar Sadar,25.00511,92.15743,Specialized Hospital,Tertiary,134,80,11,1,1,2026-01-12,11:00,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00159,Narayanganj District Hospital,Fully Government-owned,Dhaka,Narayanganj,Araihazar,23.6188,90.25812,District/General Hospital,Secondary,250,90,3,0,1,2026-01-12,11:05,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00160,Barishal District Hospital,Fully Government-owned,Barishal,Barishal,Bakerganj,22.29983,90.40623,District/General Hospital,Secondary,500,250,9,0,1,2026-01-12,11:10,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00161,Kalihati 50-bed Hospital,Fully Government-owned,Dhaka,Tangail,Kalihati,23.85068,90.67041,50-bed Hospital,Secondary,50,6,1,0,1,2026-01-12,11:15,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00162,Mymensingh District Hospital,Fully Government-owned,Mymensingh,Mymensingh,Trishal,24.34306,90.87838,District/General Hospital,Secondary,500,104,10,2,1,2026-01-12,11:20,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00163,Trishal 20-bed Hospital,Fully Government-owned,Mymensingh,Mymensingh,Trishal,25.15191,90.84679,20-bed Hospital,Primary,20,0,0,0,0,2026-01-12,11:25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
FR00164,Sylhet District Hospital,Fully Government-owned,Sylhet,Sylhet,Beanibazar,24.72732,92.10661,District/General Hospital,Secondary,500,3,10,0,1,2026-01-12,11:30,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00165,Bogura Trauma Center,Fully Government-owned,Rajshahi,Bogura,Bogura Sadar,23.96535,89.21848,Trauma Center,Tertiary,86,58,10,0,1,2026-01-12,11:30,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00166,Rangpur District Hospital,Fully Government-owned,Rangpur,Rangpur,Mithapukur,26.22959,89.12848,District/General Hospital,Secondary,250,60,4,0,1,2026-01-12,21:55,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00167,Pabna Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Rajshahi,Pabna,Bera,24.13511,88.80656,Maternal & Child Welfare Centre (MCWC),Secondary,15,0,0,0,1,2026-01-12,22:00,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00168,Moulvibazar Sadar 50-bed Hospital,Fully Government-owned,Sylhet,Moulvibazar,Moulvibazar Sadar,24.88902,91.75858,50-bed Hospital,Secondary,50,4,1,0,1,2026-01-12,22:05,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00169,Rajshahi Sadar 30-bed Hospital,Fully Government-owned,Rajshahi,Rajshahi,Rajshahi Sadar,24.30966,89.3341,30-bed Hospital,Secondary,30,12,0,0,1,2026-01-12,22:10,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00170,Araihazar Upazila Health Complex,Fully Government-owned,Dhaka,Narayanganj,Araihazar,23.68112,90.58194,Upazila Health Complex,Primary,100,55,0,0,0,2026-01-12,22:15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00171,Pabna Medical College Hospital,Fully Government-owned,Rajshahi,Pabna,Ishwardi,24.57938,89.65742,Medical College Hospital,Tertiary,1200,60,91,33,1,2026-01-12,22:20,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00172,Patuakhali Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Barishal,Patuakhali,Patuakhali Sadar,22.85121,90.32831,Maternal & Child Welfare Centre (MCWC),Secondary,25,0,0,0,1,2026-01-12,22:25,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00173,Jashore Trauma Center,Fully Government-owned,Khulna,Jashore,Chaugachha,22.48177,89.34369,Trauma Center,Tertiary,162,13,13,2,1,2026-01-12,22:30,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00174,Rangpur Trauma Center,Fully Government-owned,Rangpur,Rangpur,Rangpur Sadar,25.28349,89.28059,Trauma Center,Tertiary,85,8,9,0,1,2026-01-12,22:35,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00175,Sylhet Maternal & Child Welfare Centre (MCWC),Fully Government-owned,Sylhet,Sylhet,Golapganj,25.11049,91.79095,Maternal & Child Welfare Centre (MCWC),Secondary,17,7,0,0,1,2026-01-12,22:40,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00176,Bogura Sadar 50-bed Hospital,Fully Government-owned,Rajshahi,Bogura,Bogura Sadar,24.89571,88.88086,50-bed Hospital,Secondary,50,15,1,0,1,2026-01-12,22:45,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00177,Dinajpur Sadar 10-bed Hospital,Fully Government-owned,Rangpur,Dinajpur,Dinajpur Sadar,25.2451,89.73083,10-bed Hospital,Primary,10,1,0,0,0,2026-01-12,22:50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00178,Rajshahi Sadar 30-bed Hospital,Fully Government-owned,Rajshahi,Rajshahi,Rajshahi Sadar,23.70819,89.28775,30-bed Hospital,Secondary,31,10,1,0,1,2026-01-12,22:55,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00179,Mymensingh Medical College Hospital,Fully Government-owned,Mymensingh,Mymensingh,Mymensingh Sadar,24.46447,91.13425,Medical College Hospital,Tertiary,1000,140,65,30,1,2026-01-12,23:00,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00180,Badarganj 50-bed Hospital,Fully Government-owned,Rangpur,Rangpur,Badarganj,25.5815,89.43895,50-bed Hospital,Secondary,50,5,0,0,1,2026-01-12,23:05,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00181,Mymensingh Specialized Hospital,Fully Government-owned,Mymensingh,Mymensingh,Mymensingh Sadar,24.99515,90.73255,Specialized Hospital,Tertiary,405,200,35,12,1,2026-01-12,23:10,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00182,Bogura Medical College Hospital,Fully Government-owned,Rajshahi,Bogura,Shibganj,24.12485,89.23012,Medical College Hospital,Tertiary,1000,80,67,9,1,2026-01-12,23:15,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00183,Cumilla District Hospital,Fully Government-owned,Chattogram,Cumilla,Daudkandi,22.87283,91.90762,District/General Hospital,Secondary,500,50,8,0,1,2026-01-12,23:20,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00184,Tangail Medical College Hospital,Fully Government-owned,Dhaka,Tangail,Ghatail,23.72683,90.01137,Medical College Hospital,Tertiary,1200,120,142,102,1,2026-01-12,23:25,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00185,Cox's Bazar District Hospital,Fully Government-owned,Chattogram,Cox's Bazar,Cox's Bazar Sadar,21.96504,91.44434,District/General Hospital,Secondary,500,80,11,1,1,2026-01-12,23:30,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00186,Sylhet Specialized Hospital,Fully Government-owned,Sylhet,Sylhet,Golapganj,24.64582,91.6944,Specialized Hospital,Tertiary,456,140,38,5,1,2026-01-12,23:35,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00187,Trishal 50-bed Hospital,Fully Government-owned,Mymensingh,Mymensingh,Trishal,25.27437,90.44716,50-bed Hospital,Secondary,50,0,1,0,1,2026-01-12,23:40,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00188,Patuakhali Specialized Hospital,Fully Government-owned,Barishal,Patuakhali,Galachipa,22.64097,90.20028,Specialized Hospital,Tertiary,229,30,12,0,1,2026-01-12,23:45,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00189,Narayanganj District Hospital,Fully Government-owned,Dhaka,Narayanganj,Sonargaon,23.80001,90.30782,District/General Hospital,Secondary,250,20,3,0,1,2026-01-12,23:50,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00190,Dinajpur Specialized Hospital,Fully Government-owned,Rangpur,Dinajpur,Dinajpur Sadar,26.6789,89.31928,Specialized Hospital,Tertiary,454,40,39,4,1,2026-01-12,23:55,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00191,Cumilla District Hospital,Fully Government-owned,Chattogram,Cumilla,Daudkandi,22.94468,91.94547,District/General Hospital,Secondary,300,90,5,0,1,2026-01-13,0:00,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
FR00192,Sylhet Sadar 20-bed Hospital,Fully Government-owned,Sylhet,Sylhet,Sylhet Sadar,24.9821,91.89828,20-bed Hospital,Primary,20,0,0,0,0,2026-01-13,0:05,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00193,Araihazar 10-bed Hospital,Fully Government-owned,Dhaka,Narayanganj,Araihazar,23.99574,90.04015,10-bed Hospital,Primary,10,0,0,0,0,2026-01-13,0:10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00194,Rajshahi Trauma Center,Fully Government-owned,Rajshahi,Rajshahi,Rajshahi Sadar,23.60085,89.38992,Trauma Center,Tertiary,162,14,8,1,1,2026-01-13,0:15,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00195,Moulvibazar Trauma Center,Fully Government-owned,Sylhet,Moulvibazar,Sreemangal,25.04325,92.26418,Trauma Center,Tertiary,58,5,6,0,1,2026-01-13,0:20,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00196,Moulvibazar Trauma Center,Fully Government-owned,Sylhet,Moulvibazar,Moulvibazar Sadar,24.81843,92.05469,Trauma Center,Tertiary,85,15,7,0,1,2026-01-13,0:25,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00197,Khulna Sadar Upazila Health Complex,Fully Government-owned,Khulna,Khulna,Khulna Sadar,23.11354,89.10599,Upazila Health Complex,Primary,50,0,0,0,0,2026-01-13,0:30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00198,Jashore Specialized Hospital,Fully Government-owned,Khulna,Jashore,Chaugachha,23.05283,89.40684,Specialized Hospital,Tertiary,202,18,12,0,1,2026-01-13,0:35,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR00199,Phulpur 20-bed Hospital,Fully Government-owned,Mymensingh,Mymensingh,Phulpur,24.905,90.4194,20-bed Hospital,Primary,20,0,0,0,0,2026-01-13,0:40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FR00200,Sherpur 50-bed Hospital,Fully Government-owned,Rajshahi,Bogura,Sherpur,24.6881,88.63143,50-bed Hospital,Secondary,50,9,1,0,1,2026-01-13,0:45,1,2,1,0,0,0,0,0,1,1,1,1,1,0,1,0
